id;cashIn;cashOut;transactionId;kioskUuid;cashierId;terminalId;settlementId;close;input_date
26;1000000;0;;;123123;T02;T02SET000020;1;"2023-08-31 10:31:18"
27;120000;-15630;T02.230831.0008;T02.230831.0017;123123;T02;T02SET000020;1;"2023-08-31 10:44:39"
28;100000;0;;T02.230831.0018;123123;T02;T02SET000020;1;"2023-09-04 10:40:12"
29;400000;0;;T02.230831.0018;123123;T02;T02SET000020;1;"2023-09-04 11:12:26"
30;1300000;-124250;;T02.230831.0018;123123;T02;T02SET000020;1;"2023-09-04 11:12:54"
31;200000;0;T02.230905.0009;T02.230905.0020;123123;T02;T02SET000020;1;"2023-09-05 03:27:17"
32;360000;-7900;T02.230905.0009;T02.230905.0020;123123;T02;T02SET000020;1;"2023-09-05 05:07:08"
33;100000;0;T02.230905.0010;T02.230905.0022;123123;T02;T02SET000020;1;"2023-09-05 07:05:43"
34;450000;-19000;T02.230905.0010;T02.230905.0022;123123;T02;T02SET000020;1;"2023-09-05 07:15:16"
35;100000;-74700;T02.230905.0011;T02.230905.0024;123123;T02;T02SET000020;1;"2023-09-05 09:28:21"
