id;transactionDate;transaction_date;kioskUuid;resetId;settlementId;memberId;paymentTypeId;storeOutlesId;terminalId;struk;total;locked;startDate;endDate;cashierId;pthType;subTotal;discount;discountMember;voucher;bkp;dpp;ppn;nonBkp;finalPrice;photo;userId;presence;inputDate;input_date;updateDate;update_date
XAU004.231108.0055;1699439823;"2023-11-08 10:37:03";XAU004.231108.0122;;XAU004SET000023;;;Comingsoon;XAU004;XAU004.231108.0055;198000;1;"2023-01-01 00:00:00.000";"2023-11-08 10:37:03.000";123123;1;0;0;0;0;178379;198000;19621;0;198000;;;1;1699439823;"2023-11-08 10:37:03";1699439823;"2023-11-08 10:37:03"
XAU004.231108.0056;1699440807;"2023-11-08 10:53:27";XAU004.231108.0123;;XAU004SET000023;;;Comingsoon;XAU004;XAU004.231108.0056;198000;1;"2023-01-01 00:00:00.000";"2023-11-08 10:53:27.000";123123;1;0;0;0;0;178379;198000;19621;0;198000;;;1;1699440807;"2023-11-08 10:53:27";1699440807;"2023-11-08 10:53:27"
XAU004.231108.0057;1699441171;"2023-11-08 10:59:31";XAU004.231108.0124;;XAU004SET000023;;;Comingsoon;XAU004;XAU004.231108.0057;198000;1;"2023-01-01 00:00:00.000";"2023-11-08 10:59:31.000";123123;1;0;0;0;0;178379;198000;19621;0;198000;;;1;1699441171;"2023-11-08 10:59:31";1699441171;"2023-11-08 10:59:31"
XAU004.231108.0058;1699445852;"2023-11-08 12:17:32";XAU004.231108.0125;;XAU004SET000023;;;Comingsoon;XAU004;XAU004.231108.0058;396000;1;"2023-01-01 00:00:00.000";"2023-11-08 12:17:32.000";123123;1;0;0;0;0;356757;396000;39243;0;396000;;;1;1699445852;"2023-11-08 12:17:32";1699445852;"2023-11-08 12:17:32"
XAU004.231108.0059;1699445959;"2023-11-08 12:19:19";XAU004.231108.0126;;XAU004SET000023;;;Comingsoon;XAU004;XAU004.231108.0059;244900;1;"2023-01-01 00:00:00.000";"2023-11-08 12:19:19.000";123123;1;0;0;0;0;220631;244900;24269;0;244900;;;1;1699445959;"2023-11-08 12:19:19";1699445959;"2023-11-08 12:19:19"
XAU004.231108.0060;1699447033;"2023-11-08 12:37:13";XAU004.231108.0127;;XAU004SET000023;;;Comingsoon;XAU004;XAU004.231108.0060;0;1;"2023-01-01 00:00:00.000";"2023-11-08 12:37:13.000";123123;1;0;0;0;0;0;0;0;0;0;;;1;1699447033;"2023-11-08 12:37:13";1699447033;"2023-11-08 12:37:13"
XAU004.231108.0061;1699447605;"2023-11-08 12:46:45";XAU004.231108.0128;;XAU004SET000023;;;Comingsoon;XAU004;XAU004.231108.0061;0;1;"2023-01-01 00:00:00.000";"2023-11-08 12:46:45.000";123123;1;0;0;0;0;0;0;0;0;0;;;1;1699447605;"2023-11-08 12:46:45";1699447605;"2023-11-08 12:46:45"
XAU004.231110.0062;1699590547;"2023-11-10 04:29:07";XAU004.231108.0129;;XAU004SET000023;;;Comingsoon;XAU004;XAU004.231110.0062;0;1;"2023-01-01 00:00:00.000";"2023-11-10 04:29:07.000";123123;1;0;0;0;0;0;0;0;0;0;;;1;1699590547;"2023-11-10 04:29:07";1699590547;"2023-11-10 04:29:07"
XAU004.231110.0063;1699595741;"2023-11-10 05:55:41";XAU004.231110.0130;;XAU004SET000023;;;Comingsoon;XAU004;XAU004.231110.0063;92800;1;"2023-01-01 00:00:00.000";"2023-11-10 05:55:41.000";123123;1;0;0;0;0;83604;92800;9196;0;92800;;;1;1699595741;"2023-11-10 05:55:41";1699595741;"2023-11-10 05:55:41"
XAU004.231110.0065;1699606956;"2023-11-10 09:02:36";XAU004.231110.0131;;XAU004SET000023;;;Comingsoon;XAU004;XAU004.231110.0065;515582;1;"2023-01-01 00:00:00.000";"2023-11-10 09:02:36.000";123123;1;0;0;0;0;287388;515582;31612;196582;515582;;;1;1699606956;"2023-11-10 09:02:36";1699606956;"2023-11-10 09:02:36"
XAU004.231110.0066;1699607040;"2023-11-10 09:04:00";XAU004.231110.0133;;XAU004SET000023;;;Comingsoon;XAU004;XAU004.231110.0066;198000;1;"2023-01-01 00:00:00.000";"2023-11-10 09:04:00.000";123123;1;0;0;0;0;178379;198000;19621;0;198000;;;1;1699607040;"2023-11-10 09:04:00";1699607040;"2023-11-10 09:04:00"
XAU004.231110.0067;1699607258;"2023-11-10 09:07:38";XAU004.231110.0134;;XAU004SET000023;;;Comingsoon;XAU004;XAU004.231110.0067;1;1;"2023-01-01 00:00:00.000";"2023-11-10 09:07:38.000";123123;1;0;0;0;0;0;1;0;1;1;;;1;1699607258;"2023-11-10 09:07:38";1699607258;"2023-11-10 09:07:38"
XAU004.231110.0069;1699620864;"2023-11-10 12:54:24";XAU004.231110.0135;;XAU004SET000023;;;Comingsoon;XAU004;XAU004.231110.0069;379500;1;"2023-01-01 00:00:00.000";"2023-11-10 12:54:24.000";123123;1;0;0;0;0;341892;379500;37608;0;379500;;;1;1699620864;"2023-11-10 12:54:24";1699620864;"2023-11-10 12:54:24"
XAU004.231113.0070;1699851708;"2023-11-13 05:01:48";XAU004.231113.0136;;XAU004SET000023;;;Comingsoon;XAU004;XAU004.231113.0070;258600;1;"2023-01-01 00:00:00.000";"2023-11-13 05:01:48.000";123123;1;0;0;0;0;232973;258600;25627;0;258600;;;1;1699851708;"2023-11-13 05:01:48";1699851708;"2023-11-13 05:01:48"
